Temperature,Stress,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,creep_life
1100,140,53.8,6.1,15,3.5,1,4.2,2.7,0,8.1,5.5,0.1,0,0,0,0,0,0,180
1100,140,59.6,6,6.9,6.5,1,4,2.6,0,7.9,5.4,0.1,0,0,0,0,0,0,124.6
1100,140,61.1,6,6.9,3.5,1,4,4,0,8,5.4,0.1,0,0,0,0,0,0,243.9
1100,140,60.8,6,6.9,3.5,2.4,4.1,2.7,0,8,5.5,0.1,0,0,0,0,0,0,282
1100,140,51.3,6,14.4,6.2,2.2,3.9,2.6,0,8,5.3,0.1,0,0,0,0,0,0,39.6
1100,140,51.6,6,14.4,6.1,1,3.9,3.7,0,7.9,5.3,0.1,0,0,0,0,0,0,302.1
1100,140,52.1,6.1,14.5,3.5,2.4,4,3.9,0,8,5.4,0.1,0,0,0,0,0,0,205.1
1100,140,58.9,5.9,6.7,5.7,2.1,3.9,3.6,0,7.8,5.3,0.1,0,0,0,0,0,0,163
1100,140,46.4,6.1,14.8,7.1,2.5,4.5,4.8,0,7.9,5.7,0.2,0,0,0,0,0,0,4
950,400,61.9,6,7.1,3.6,1,4.4,2.6,0,7.9,5.4,0.1,0,0,0,0,0,0,217
950,400,53.8,6.1,15,3.5,1,4.2,2.7,0,8.1,5.5,0.1,0,0,0,0,0,0,237
950,400,52.1,6.1,14.5,3.5,2.4,4,3.9,0,8,5.4,0.1,0,0,0,0,0,0,328
1100,130,68.6,5.7,6.9,0,0,4.8,0,0,8.2,5.8,0,0,0,0,0,0,0,40
1100,130,66,5.8,7.2,2.9,0,4.6,0,0,7.9,5.6,0,0,0,0,0,0,0,135.8
1100,130,63.7,5.7,7,5.6,0,4.6,0,0,7.9,5.5,0,0,0,0,0,0,0,173.3
1100,130,63.7,5.9,7,0,0,4.6,5,0,8.1,5.7,0,0,0,0,0,0,0,68.1
1100,130,60,6.2,7.2,2.8,0,4.8,5,0,8.2,5.8,0,0,0,0,0,0,0,246.8
1100,130,58,6.1,7,5.5,0,4.7,5,0,8,5.7,0,0,0,0,0,0,0,167.2
760,800,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,354
980,200,66.45,6,3.9,4.15,6,0,0,0,7.5,6,0,0,0,0,0,0,0,101
780,800,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,138
